* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -35.0 dBFS, measurement signal peak level -25.8 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 9:06:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0424 ms (-15 mm, -0.57 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: R + Sub 3
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
190.7959 78.008 18.08
191.1621 78.026 16.72
191.5283 78.046 15.44
191.8945 78.053 14.13
192.2608 78.022 12.79
192.6270 77.940 11.59
192.9932 77.819 10.77
193.3594 77.693 10.42
193.7256 77.602 10.46
194.0918 77.562 10.63
194.4580 77.557 10.72
194.8242 77.555 10.67
195.1904 77.532 10.58
195.5567 77.488 10.66
195.9229 77.443 11.00
196.2891 77.424 11.59
196.6553 77.448 12.30
197.0215 77.513 12.94
197.3877 77.600 13.44
197.7539 77.689 13.80
198.1201 77.770 14.13
198.4863 77.851 14.57
198.8526 77.956 15.18
199.2188 78.116 15.89
199.5850 78.350 16.46
199.9512 78.649 16.60
200.3174 78.977 16.08
200.6836 79.287 14.87
201.0498 79.535 13.10
201.4160 79.698 10.99
201.7822 79.767 8.78
202.1485 79.749 6.70
202.5147 79.663 4.95
202.8809 79.537 3.66
203.2471 79.407 2.85
203.6133 79.309 2.42
203.9795 79.264 2.16
204.3457 79.266 1.79
204.7119 79.287 1.14
205.0781 79.287 0.22
205.4444 79.239 -0.83
205.8106 79.138 -1.76
206.1768 79.002 -2.37
206.5430 78.862 -2.61
206.9092 78.747 -2.53
207.2754 78.669 -2.29
207.6416 78.624 -1.99
208.0078 78.601 -1.68
208.3740 78.598 -1.31
208.7403 78.626 -0.85
209.1065 78.705 -0.36
209.4727 78.845 -0.04
209.8389 79.033 -0.12
210.2051 79.231 -0.77
210.5713 79.393 -1.95
210.9375 79.481 -3.46
211.3037 79.483 -4.99
211.6699 79.414 -6.26
212.0362 79.309 -7.10
212.4024 79.209 -7.51
212.7686 79.136 -7.61
213.1348 79.097 -7.52
213.5010 79.097 -7.26
213.8672 79.156 -6.84
214.2334 79.309 -6.42
214.5996 79.570 -6.40
214.9658 79.908 -7.23
215.3320 80.250 -9.14
215.6983 80.516 -12.03
216.0645 80.654 -15.53
216.4307 80.651 -19.17
216.7969 80.540 -22.54
217.1631 80.380 -25.46
217.5293 80.231 -28.05
217.8955 80.124 -30.66
218.2617 80.039 -33.68
218.6279 79.921 -37.27
218.9942 79.716 -41.29
219.3604 79.400 -45.40
219.7266 78.991 -49.24
220.0928 78.547 -52.64
220.4590 78.132 -55.79
220.8252 77.778 -59.21
221.1914 77.444 -63.51
221.5576 77.042 -68.99
221.9238 76.475 -75.60
222.2901 75.681 -83.06
222.6563 74.637 -91.06
223.0225 73.367 -99.51
223.3887 71.920 -108.82
223.7549 70.353 -120.08
224.1211 68.749 -135.10
224.4873 67.343 -155.90
224.8535 66.683 177.54
225.2197 67.198 150.06
225.5860 68.502 127.34
225.9522 69.961 110.45
226.3184 71.293 98.05
226.6846 72.462 88.64
227.0508 73.493 81.04
227.4170 74.394 74.39
227.7832 75.151 68.25
228.1494 75.750 62.51
228.5156 76.196 57.26
228.8819 76.518 52.60
229.2481 76.751 48.49
229.6143 76.920 44.84
229.9805 77.030 41.51
230.3467 77.072 38.50
230.7129 77.044 35.95
231.0791 76.968 34.03
231.4453 76.891 32.82
231.8115 76.857 32.15
232.1778 76.886 31.70
232.5440 76.963 31.22
232.9102 77.054 30.61
233.2764 77.138 29.96
233.6426 77.217 29.39
234.0088 77.303 28.92
234.3750 77.408 28.48
234.7412 77.526 28.00
235.1074 77.645 27.44
235.4737 77.758 26.88
235.8399 77.872 26.40
236.2061 78.009 26.02
236.5723 78.187 25.60
236.9385 78.408 24.95
237.3047 78.653 23.88
237.6709 78.889 22.31
238.0371 79.086 20.33
238.4033 79.226 18.06
238.7696 79.307 15.65
239.1358 79.332 13.18
239.5020 79.305 10.70
239.8682 79.224 8.26
240.2344 79.085 5.91
240.6006 78.889 3.81
240.9668 78.649 2.09
241.3330 78.395 0.85
241.6992 78.164 0.05
242.0654 77.983 -0.51
242.4317 77.853 -1.13
242.7979 77.743 -2.03
243.1641 77.610 -3.23
243.5303 77.416 -4.57
243.8965 77.148 -5.77
244.2627 76.826 -6.53
244.6289 76.497 -6.71
244.9951 76.212 -6.43
245.3613 75.997 -6.03
245.7276 75.835 -5.87
246.0938 75.674 -6.15
246.4600 75.459 -6.77
246.8262 75.156 -7.44
247.1924 74.766 -7.85
247.5586 74.309 -7.78
247.9248 73.809 -7.08
248.2910 73.283 -5.66
248.6572 72.756 -3.29
249.0235 72.295 0.25
249.3897 72.011 4.80
249.7559 71.990 9.59
250.1221 72.198 13.52
250.4883 72.489 16.06
250.8545 72.720 17.49
251.2207 72.834 18.61
251.5869 72.873 20.13
251.9531 72.941 22.30
252.3194 73.128 24.73
252.6856 73.444 26.75
253.0518 73.821 27.92
253.4180 74.182 28.27
253.7842 74.487 28.09
254.1504 74.738 27.65
254.5166 74.956 27.04
254.8828 75.154 26.23
255.2490 75.329 25.11
255.6153 75.469 23.63
255.9815 75.553 21.77
256.3477 75.564 19.55
256.7139 75.476 17.01
257.0801 75.257 14.28
257.4463 74.876 11.59
257.8125 74.313 9.32
258.1787 73.569 7.95
258.5449 72.678 8.00
258.9112 71.705 9.89
259.2774 70.733 13.91
259.6436 69.854 20.29
260.0098 69.207 29.25
260.3760 69.032 40.54
260.7422 69.571 52.31
261.1084 70.760 61.62
261.4746 72.238 66.94
261.8408 73.674 68.71
